xorazmcha;adabiycha;turkumi;xorazmcha;adabiycha;ko`plik/birlik;egalik/shaxs-son;zamon;kelishik
ina;nihoyat;;;;;;;
juda;juda;;;;;;;
sal;sal;;;;;;;
ozroq;bir oz;;;;;;;
haqiqatdan;chindan;;;;;;;
balkim;balki;;;;;;;
ava;albatta;;;;;;;
nachundir;negadir;;;;;;;
bekor;bekor;;;;;;;
prosta;shunchaki;;;;;;;
dmey;bamisoli;;;;;;;
ayniqso;ayniqsa;;;;;;;
ko‘pincha;ko‘pincha;;;;;;;
hamma vaqt;doimo;;;;;;;
tezraq;tezroq;;;;;;;
yaxshiraq;yaxshiroq;;;;;;;
ilondin;ilonday;;;;;;;
birdan;birdaniga;;;;;;;
bilagir;sezgirroq;;;;;;;
daparoq;balandroq;;;;;;;
yaqinraq;yaqinroq;;;;;;;
uzoqa;uzoqqa;;;;;;;
dapaya;yuqoriga;;;;;;;
pastga;pastga;;;;;;;
ichkariga;ichkariga;;;;;;;
tashqariga;tashqariga;;;;;;;
yoninda;yonma-yon;;;;;;;
birga;birga;;;;;;;
aval;avval;;;;;;;
keyin;keyin;;;;;;;
yo bo`lmasa;yana-da;;;;;;;
baribir;baribir;;;;;;;
vapshe eta;mutlaqo;;;;;;;
rastanam;shubhasiz;;;;;;;
tarsaki;teskari;;;;;;;
cheta;chetga;;;;;;;
o`g`rincha;zimdan;;;;;;;
yaling;yashindek;;;;;;;
dapaya;tepaga;;;;;;;
pasroq;pastlay;;;;;;;
qistanib;shoshib;;;;;;;
bir o`zi;yolg‘iz;;;;;;;
novindan;nimadandir;;;;;;;
yungul;yengilgina;;;;;;;
do`ppa do`g`ri;to‘ppa-to‘g‘ri;;;;;;;
dm;g‘oyat;;;;;;;
tez;favqulodda;;;;;;;
yenam;behad;;;;;;;
mos;mos ravishda;;;;;;;
birdan;birvarakayiga;;;;;;;
shundelay;bevosita;;;;;;;
;;;;;;;;
